;;Household net income;EUR;2013;e;3767;e;4531;e;5226;e;5849;e;3314;e
;;Disposable income and receipts;EUR;2057;e;3826;e;4608;e;5339;e;5929;e;3374;e
;;Household final consumption expenditure;EUR;1590;e;2812;e;3295;e;3714;e;4258;e;2480;e
;;Other expenditure;EUR;1036;e;1945;e;2609;e;2359;e;2581;e;1698;e
2017;Households covered;;number;2213;e;3480;e;1045;e;734;e;213;e;7685;e
;Households extrapolated;;1000;16066;e;12856;e;4337;e;3239;e;1231;e;37729;e
;Average amount per household and month;Household gross income;EUR;2724;e;4996;e;6453;e;7272;e;7544;e;4474;e
;;Household net income;EUR;2070;e;3845;e;4823;e;5393;e;5832;e;3399;e
;;Disposable income and receipts;EUR;2112;e;3919;e;4888;e;5483;e;5927;e;3461;e
;;Household final consumption expenditure;EUR;1629;e;2899;e;3316;e;3812;e;3905;e;2517;e
;;Other expenditure;EUR;1075;e;1902;e;2350;e;2503;e;2686;e;1678;e
2019;Households covered;;number;2676;e;2822;e;1100;e;707;e;192;e;7497;e
;Households extrapolated;;1000;16406;e;12686;e;4340;e;3333;e;1228;e;37993;e
;Average amount per household and month;Household gross income;EUR;2859;e;5316;e;6837;e;8011;e;7426;e;4734;e
;;Household net income;EUR;2176;e;4078;e;5037;e;5900;e;5749;e;3580;e
;;Disposable income and receipts;EUR;2223;e;4153;e;5114;e;6000;e;5822;e;3645;e
;;Household final consumption expenditure;EUR;1695;e;2923;e;3442;e;3923;e;3981;e;2574;e
;;Other expenditure;EUR;1222;e;2330;e;2798;e;2922;e;2391;e;1959;e
2020;Households covered;;number;2788;e;2858;e;1000;e;682;e;185;e;7513;e
;Households extrapolated;;1000;16428;e;12786;e;4267;e;3289;e;1224;e;37993;e
;Average amount per household and month;Household gross income;EUR;2827;e;5257;e;6854;e;8165;e;7686;e;4715;e
;;Household net income;EUR;2168;e;4071;e;5177;e;6114;e;6025;e;3612;e
;;Disposable income and receipts;EUR;2207;e;4156;e;5270;e;6222;e;6144;e;3681;e
;;Household final consumption expenditure;EUR;1600;e;2912;e;3275;e;3906;e;4026;e;2507;e
;;Other expenditure;EUR;1177;e;2404;e;2560;e;4198;e;2493;e;2049;e
2021;Households covered;;number;2826;e;2867;e;938;e;670;e;196;e;7497;e
;Households extrapolated;;1000;16143;e;12997;e;4303;e;3418;e;1198;e;38058;e
;Average amount per household and month;Household gross income;EUR;2941;e;5576;e;7124;e;8278;e;8849;e;4979;e
;;Household net income;EUR;2264;e;4322;e;5374;e;6177;e;6805;e;3813;e
;;Disposable income and receipts;EUR;2313;e;4393;e;5466;e;6264;e;6922;e;3880;e
;;Household final consumption expenditure;EUR;1658;e;2984;e;3421;e;4117;e;4591;e;2623;e
;;Other expenditure;EUR;1289;e;2489;e;3073;e;3025;e;4921;e;2171;e
2022;Households covered;;number;2803;e;2847;e;850;e;608;e;185;e;7293;e
;Households extrapolated;;1000;16191;e;12822;e;4359;e;3432;e;1297;e;38102;e
;Average amount per household and month;Household gross income;EUR;3164;e;5930;e;7438;e;8847;e;9051;e;5296;e
;;Household net income;EUR;2439;e;4621;e;5569;e;6569;e;6928;e;4056;e
;;Disposable income and receipts;EUR;2479;e;4702;e;5677;e;6664;e;7032;e;4125;e
;;Household final consumption expenditure;EUR;1833;e;3239;e;3760;e;4322;e;4632;e;2846;e
;;Other expenditure;EUR;1470;e;2853;e;3062;e;4354;e;3769;e;2456;e
__________
© Federal Statistical Office, Wiesbaden 2024
created: 2024-11-23 / 20:31:22
