,2014 offence or offence category,2014 sex,2014 total suspects number,2014 children under 21,2014 adults 21>,2015 offence or offence category,2015 sex,2015 total suspects number,2015 children under 21,2015 adults 21>,2016 offence or offence category,2016 sex,2016 total suspects number,2016 children under 21,2016 adults 21>,2017 offence or offence category,2017 sex,2017 total suspects number,2017 children under 21,2017 adults 21>,2018 offence or offence category,2018 sex,2018 total suspects number,2018 children under 21,2018 adults 21>,2019 offence or offence category,2019 sex,2019 total suspects number,2019 children under 21,2019 adults 21>,2020 offence or offence category,2020 sex,2020 total suspects number,2020 children under 21,2020 adults 21>,2021 offence or offence category,2021 sex,2021 total suspects number,2021 children under 21,2021 adults 21>,2022 offence or offence category,2022 sex,2022 total suspects number,2022 children under 21,2022 adults 21>,2023 offence or offence category,2023 sex,2023 total suspects number,2023 children under 21,2023 adults 21>
10,murder (sect. 211 PC),f,130.0,19.0,111.0,other types of murder,f,87.0,9.0,78.0,other types of murder,f,99.0,8.0,91.0,other types of murder,f,96.0,11.0,85.0,other types of murder,f,103.0,12.0,91.0,other types of murder,W,89.0,14.0,75.0,other types of murder,W,94.0,9.0,85.0,other types of murder,W,83.0,10.0,73.0,other types of murder,W,107,11,96,other types of murder,f,107.0,13.0,94.0
11,murder (sect. 211 PC),x,829.0,106.0,723.0,other types of murder,x,664.0,80.0,584.0,other types of murder,x,697.0,82.0,615.0,other types of murder,x,747.0,92.0,655.0,other types of murder,x,764.0,114.0,650.0,other types of murder,X,810.0,126.0,684.0,other types of murder,X,714.0,92.0,622.0,other types of murder,X,667.0,87.0,580.0,other types of murder,X,711,99,612,other types of murder,x,764.0,102.0,662.0
12,other types of murder,m,617.0,63.0,554.0,robbery attended with murder,m,53.0,11.0,42.0,robbery attended with murder,m,74.0,12.0,62.0,robbery attended with murder,m,60.0,19.0,41.0,robbery attended with murder,m,78.0,10.0,68.0,robbery attended with murder,M,58.0,21.0,37.0,robbery attended with murder,M,38.0,10.0,28.0,robbery attended with murder,M,43.0,11.0,32.0,robbery attended with murder,M,44,15,29,robbery attended with murder,w,43.0,7.0,36.0
13,other types of murder,f,123.0,16.0,107.0,robbery attended with murder,f,3.0,2.0,1.0,robbery attended with murder,f,7.0,2.0,5.0,robbery attended with murder,f,8.0,3.0,5.0,robbery attended with murder,f,4.0,0.0,4.0,robbery attended with murder,W,13.0,6.0,7.0,robbery attended with murder,W,4.0,1.0,3.0,robbery attended with murder,W,5.0,1.0,4.0,robbery attended with murder,W,2,1,1,robbery attended with murder,f,12.0,7.0,5.0
14,other types of murder,x,740.0,79.0,661.0,robbery attended with murder,x,56.0,13.0,43.0,robbery attended with murder,x,81.0,14.0,67.0,robbery attended with murder,x,68.0,22.0,46.0,robbery attended with murder,x,82.0,10.0,72.0,robbery attended with murder,X,71.0,27.0,44.0,robbery attended with murder,X,42.0,11.0,31.0,robbery attended with murder,X,48.0,12.0,36.0,robbery attended with murder,X,46,16,30,robbery attended with murder,m,55.0,14.0,41.0
15,robbery attended with murder,m,68.0,22.0,46.0,sexual murder,m,11.0,3.0,8.0,sexual murder,m,7.0,1.0,6.0,sexual murder,m,10.0,1.0,9.0,sexual murder,m,10.0,3.0,7.0,sexual murder,M,4.0,1.0,3.0,sexual murder,M,6.0,1.0,5.0,sexual murder,M,9.0,2.0,7.0,sexual murder,M,8,2,6,sexual murder,x,5.0,0.0,5.0
16,robbery attended with murder,f,7.0,3.0,4.0,sexual murder,f,0.0,0.0,0.0,sexual murder,f,0.0,0.0,0.0,sexual murder,f,1.0,0.0,1.0,sexual murder,f,0.0,0.0,0.0,sexual murder,W,0.0,0.0,0.0,sexual murder,W,1.0,0.0,1.0,sexual murder,W,1.0,0.0,1.0,sexual murder,W,0,0,0,sexual murder,f,0.0,0.0,0.0
17,robbery attended with murder,x,75.0,25.0,50.0,sexual murder,x,11.0,3.0,8.0,sexual murder,x,7.0,1.0,6.0,sexual murder,x,11.0,1.0,10.0,sexual murder,x,10.0,3.0,7.0,sexual murder,X,4.0,1.0,3.0,sexual murder,X,7.0,1.0,6.0,sexual murder,X,10.0,2.0,8.0,sexual murder,X,8,2,6,sexual murder,w,5.0,0.0,5.0
18,sexual murder,m,17.0,2.0,15.0,"manslaughter and killing another at his/her own request (sects. 212, 213, 216 PC)",m,1565.0,271.0,1294.0,"manslaughter and killing another at his/her own request (sects. 212, 213, 216 PC)",m,1771.0,327.0,1444.0,"manslaughter and killing another at his/her own request (sects. 212, 213, 216 PC)",m,1680.0,336.0,1344.0,"manslaughter and killing another at his/her own request (sects. 212, 213, 216 PC)",m,1764.0,364.0,1400.0,"manslaughter and killing another at his/her own request (sects. 212, 213, 216 PC)",M,1891.0,358.0,1533.0,"manslaughter and killing another at his/her own request (sects. 212, 213, 216 PC)",M,1696.0,320.0,1376.0,"manslaughter and killing another at his/her own request (sects. 212, 213, 216 PC)",M,1653.0,349.0,1304.0,"manslaughter and killing another at his/her own request (sects. 212, 213, 216 PC)",M,1728,366,1362,"manslaughter and killing another at his/her own request (sects. 212, 213, 216 PC)",m,1747.0,407.0,1340.0
19,sexual murder,f,0.0,0.0,0.0,"manslaughter and killing another at his/her own request (sects. 212, 213, 216 PC)",f,206.0,18.0,188.0,"manslaughter and killing another at his/her own request (sects. 212, 213, 216 PC)",f,232.0,22.0,210.0,"manslaughter and killing another at his/her own request (sects. 212, 213, 216 PC)",f,204.0,20.0,184.0,"manslaughter and killing another at his/her own request (sects. 212, 213, 216 PC)",f,218.0,24.0,194.0,"manslaughter and killing another at his/her own request (sects. 212, 213, 216 PC)",W,220.0,24.0,196.0,"manslaughter and killing another at his/her own request (sects. 212, 213, 216 PC)",W,218.0,17.0,201.0,"manslaughter and killing another at his/her own request (sects. 212, 213, 216 PC)",W,222.0,28.0,194.0,"manslaughter and killing another at his/her own request (sects. 212, 213, 216 PC)",W,220,30,190,"manslaughter and killing another at his/her own request (sects. 212, 213, 216 PC)",f,225.0,30.0,195.0
20,sexual murder,x,17.0,2.0,15.0,"manslaughter and killing another at his/her own request (sects. 212, 213, 216 PC)",x,1771.0,289.0,1482.0,"manslaughter and killing another at his/her own request (sects. 212, 213, 216 PC)",x,2003.0,349.0,1654.0,"manslaughter and killing another at his/her own request (sects. 212, 213, 216 PC)",x,1884.0,356.0,1528.0,"manslaughter and killing another at his/her own request (sects. 212, 213, 216 PC)",x,1982.0,388.0,1594.0,"manslaughter and killing another at his/her own request (sects. 212, 213, 216 PC)",X,2111.0,382.0,1729.0,"manslaughter and killing another at his/her own request (sects. 212, 213, 216 PC)",X,1914.0,337.0,1577.0,"manslaughter and killing another at his/her own request (sects. 212, 213, 216 PC)",X,1875.0,377.0,1498.0,"manslaughter and killing another at his/her own request (sects. 212, 213, 216 PC)",X,1948,396,1552,"manslaughter and killing another at his/her own request (sects. 212, 213, 216 PC)",x,1972.0,437.0,1535.0
21,"manslaughter and killing another at his/her own request (sects. 212, 213, 216 PC)",m,1672.0,258.0,1414.0,manslaughter (sect. 212 PC),m,1547.0,271.0,1276.0,manslaughter (sect. 212 PC),m,1748.0,327.0,1421.0,manslaughter (sect. 212 PC),m,1658.0,334.0,1324.0,manslaughter (sect. 212 PC),m,1752.0,364.0,1388.0,manslaughter (sect. 212 PC),M,1879.0,358.0,1521.0,manslaughter (sect. 212 PC),M,1681.0,319.0,1362.0,manslaughter (sect. 212 PC),M,1637.0,349.0,1288.0,manslaughter (sect. 212 PC),M,1712,365,1347,manslaughter (sect. 212 PC),w,1729.0,407.0,1322.0
22,"manslaughter and killing another at his/her own request (sects. 212, 213, 216 PC)",f,221.0,33.0,188.0,manslaughter (sect. 212 PC),f,202.0,18.0,184.0,manslaughter (sect. 212 PC),f,221.0,21.0,200.0,manslaughter (sect. 212 PC),f,197.0,20.0,177.0,manslaughter (sect. 212 PC),f,213.0,24.0,189.0,manslaughter (sect. 212 PC),W,215.0,23.0,192.0,manslaughter (sect. 212 PC),W,214.0,17.0,197.0,manslaughter (sect. 212 PC),W,219.0,28.0,191.0,manslaughter (sect. 212 PC),W,214,29,185,manslaughter (sect. 212 PC),f,221.0,30.0,191.0
23,"manslaughter and killing another at his/her own request (sects. 212, 213, 216 PC)",x,1893.0,291.0,1602.0,manslaughter (sect. 212 PC),x,1749.0,289.0,1460.0,manslaughter (sect. 212 PC),x,1969.0,348.0,1621.0,manslaughter (sect. 212 PC),x,1855.0,354.0,1501.0,manslaughter (sect. 212 PC),x,1965.0,388.0,1577.0,manslaughter (sect. 212 PC),X,2094.0,381.0,1713.0,manslaughter (sect. 212 PC),X,1895.0,336.0,1559.0,manslaughter (sect. 212 PC),X,1856.0,377.0,1479.0,manslaughter (sect. 212 PC),X,1926,394,1532,manslaughter (sect. 212 PC),m,1950.0,437.0,1513.0
24,manslaughter (sect. 212 PC),m,1655.0,255.0,1400.0,less serious case of manslaughter (sect. 213 PC),m,5.0,0.0,5.0,less serious case of manslaughter (sect. 213 PC),m,1.0,0.0,1.0,less serious case of manslaughter (sect. 213 PC),m,9.0,2.0,7.0,less serious case of manslaughter (sect. 213 PC),m,3.0,0.0,3.0,less serious case of manslaughter (sect. 213 PC),M,1.0,0.0,1.0,less serious case of manslaughter (sect. 213 PC),M,0.0,0.0,0.0,less serious case of manslaughter (sect. 213 PC),M,1.0,0.0,1.0,less serious case of manslaughter (sect. 213 PC),M,2,0,2,less serious case of manslaughter (sect. 213 PC),x,0.0,0.0,0.0
25,manslaughter (sect. 212 PC),f,216.0,33.0,183.0,less serious case of manslaughter (sect. 213 PC),f,1.0,0.0,1.0,less serious case of manslaughter (sect. 213 PC),f,5.0,0.0,5.0,less serious case of manslaughter (sect. 213 PC),f,2.0,0.0,2.0,less serious case of manslaughter (sect. 213 PC),f,0.0,0.0,0.0,less serious case of manslaughter (sect. 213 PC),W,0.0,0.0,0.0,less serious case of manslaughter (sect. 213 PC),W,0.0,0.0,0.0,less serious case of manslaughter (sect. 213 PC),W,0.0,0.0,0.0,less serious case of manslaughter (sect. 213 PC),W,0,0,0,less serious case of manslaughter (sect. 213 PC),f,1.0,0.0,1.0
26,manslaughter (sect. 212 PC),x,1871.0,288.0,1583.0,less serious case of manslaughter (sect. 213 PC),x,6.0,0.0,6.0,less serious case of manslaughter (sect. 213 PC),x,6.0,0.0,6.0,less serious case of manslaughter (sect. 213 PC),x,11.0,2.0,9.0,less serious case of manslaughter (sect. 213 PC),x,3.0,0.0,3.0,less serious case of manslaughter (sect. 213 PC),X,1.0,0.0,1.0,less serious case of manslaughter (sect. 213 PC),X,0.0,0.0,0.0,less serious case of manslaughter (sect. 213 PC),X,1.0,0.0,1.0,less serious case of manslaughter (sect. 213 PC),X,2,0,2,less serious case of manslaughter (sect. 213 PC),w,1.0,0.0,1.0
27,less serious case of manslaughter (sect. 213 PC),m,4.0,2.0,2.0,killing a person at his own request (sect. 216 PC),m,13.0,0.0,13.0,killing a person at his own request (sect. 216 PC),m,22.0,0.0,22.0,killing a person at his own request (sect. 216 PC),m,13.0,0.0,13.0,killing a person at his own request (sect. 216 PC),m,10.0,0.0,10.0,killing a person at his own request (sect. 216 PC),M,11.0,0.0,11.0,killing a person at his own request (sect. 216 PC),M,15.0,1.0,14.0,killing a person at his own request (sect. 216 PC),M,16.0,0.0,16.0,killing a person at his own request (sect. 216 PC),M,15,1,14,killing a person at his own request (sect. 216 PC),m,18.0,0.0,18.0
28,less serious case of manslaughter (sect. 213 PC),f,2.0,0.0,2.0,killing a person at his own request (sect. 216 PC),f,3.0,0.0,3.0,killing a person at his own request (sect. 216 PC),f,6.0,1.0,5.0,killing a person at his own request (sect. 216 PC),f,5.0,0.0,5.0,killing a person at his own request (sect. 216 PC),f,5.0,0.0,5.0,killing a person at his own request (sect. 216 PC),W,5.0,1.0,4.0,killing a person at his own request (sect. 216 PC),W,4.0,0.0,4.0,killing a person at his own request (sect. 216 PC),W,4.0,0.0,4.0,killing a person at his own request (sect. 216 PC),W,6,1,5,killing a person at his own request (sect. 216 PC),f,3.0,0.0,3.0
29,less serious case of manslaughter (sect. 213 PC),x,6.0,2.0,4.0,killing a person at his own request (sect. 216 PC),x,16.0,0.0,16.0,killing a person at his own request (sect. 216 PC),x,28.0,1.0,27.0,killing a person at his own request (sect. 216 PC),x,18.0,0.0,18.0,killing a person at his own request (sect. 216 PC),x,15.0,0.0,15.0,killing a person at his own request (sect. 216 PC),X,16.0,1.0,15.0,killing a person at his own request (sect. 216 PC),X,19.0,1.0,18.0,killing a person at his own request (sect. 216 PC),X,20.0,0.0,20.0,killing a person at his own request (sect. 216 PC),X,21,2,19,killing a person at his own request (sect. 216 PC),x,21.0,0.0,21.0
30,killing a person at his own request (sect. 216 PC),m,13.0,1.0,12.0,"negligent homicide (sect. 222 PC) 
(not in conjunction with a traffic accident)",m,626.0,5.0,621.0,"negligent homicide (sect. 222 PC) 
(not in conjunction with a traffic accident)",m,580.0,10.0,570.0,negligent homicide (sect. 222 PC) (not in conjunction with a traffic accident),m,606.0,9.0,597.0,negligent homicide (sect. 222 PC) (not in conjunction with a traffic accident),m,551.0,11.0,540.0,negligent homicide (sect. 222 PC) (not in conjunction with a traffic accident),M,490.0,17.0,473.0,negligent homicide (sect. 222 PC) (not in conjunction with a traffic accident),M,609.0,7.0,602.0,negligent homicide (sect. 222 PC) (not in conjunction with a traffic accident),M,507.0,9.0,498.0,negligent homicide (sect. 222 PC) (not in conjunction with a traffic accident),M,508,11,497,negligent homicide (sect. 222 PC) (not in conjunction with a traffic accident),w,572.0,10.0,562.0
31,killing a person at his own request (sect. 216 PC),f,3.0,0.0,3.0,"negligent homicide (sect. 222 PC) 
(not in conjunction with a traffic accident)",f,262.0,5.0,257.0,"negligent homicide (sect. 222 PC) 
(not in conjunction with a traffic accident)",f,261.0,3.0,258.0,negligent homicide (sect. 222 PC) (not in conjunction with a traffic accident),f,293.0,7.0,286.0,negligent homicide (sect. 222 PC) (not in conjunction with a traffic accident),f,251.0,6.0,245.0,negligent homicide (sect. 222 PC) (not in conjunction with a traffic accident),W,284.0,10.0,274.0,negligent homicide (sect. 222 PC) (not in conjunction with a traffic accident),W,272.0,10.0,262.0,negligent homicide (sect. 222 PC) (not in conjunction with a traffic accident),W,340.0,3.0,337.0,negligent homicide (sect. 222 PC) (not in conjunction with a traffic accident),W,237,3,234,negligent homicide (sect. 222 PC) (not in conjunction with a traffic accident),f,280.0,2.0,278.0
32,killing a person at his own request (sect. 216 PC),x,16.0,1.0,15.0,"negligent homicide (sect. 222 PC) 
(not in conjunction with a traffic accident)",x,888.0,10.0,878.0,"negligent homicide (sect. 222 PC) 
(not in conjunction with a traffic accident)",x,841.0,13.0,828.0,negligent homicide (sect. 222 PC) (not in conjunction with a traffic accident),x,899.0,16.0,883.0,negligent homicide (sect. 222 PC) (not in conjunction with a traffic accident),x,802.0,17.0,785.0,negligent homicide (sect. 222 PC) (not in conjunction with a traffic accident),X,774.0,27.0,747.0,negligent homicide (sect. 222 PC) (not in conjunction with a traffic accident),X,881.0,17.0,864.0,negligent homicide (sect. 222 PC) (not in conjunction with a traffic accident),X,847.0,12.0,835.0,negligent homicide (sect. 222 PC) (not in conjunction with a traffic accident),X,745,14,731,negligent homicide (sect. 222 PC) (not in conjunction with a traffic accident),m,852.0,12.0,840.0
33,"negligent homicide (sect. 222 PC) 
(not in conjunction with a traffic accident)",m,659.0,11.0,648.0,"termination of pregnancy (sects. 218, 218b, 218c, 219a, 219b PC)",m,91.0,13.0,78.0,"termination of pregnancy (sects. 218, 218b, 218c, 219a, 219b PC)",m,97.0,7.0,90.0,"termination of pregnancy (sects. 218, 218b, 218c, 219a, 219b PC)",m,85.0,7.0,78.0,"termination of pregnancy (sects. 218, 218b, 218c, 219a, 219b PC)",m,74.0,9.0,65.0,"termination of pregnancy (sects. 218, 218b, 218c, 219a, 219b PC)",M,55.0,7.0,48.0,"termination of pregnancy (sects. 218, 218b, 218c, 219a, 219b PC)",M,73.0,7.0,66.0,"termination of pregnancy (sects. 218, 218b, 218c, 219a, 219b PC)",M,60.0,9.0,51.0,"termination of pregnancy (sects. 218, 218b, 218c, 219a, 219b PC)",M,72,11,61,"termination of pregnancy (sects. 218, 218b, 218c, 219a, 219b PC)",x,73.0,7.0,66.0
34,"negligent homicide (sect. 222 PC) 
(not in conjunction with a traffic accident)",f,224.0,3.0,221.0,"termination of pregnancy (sects. 218, 218b, 218c, 219a, 219b PC)",f,28.0,6.0,22.0,"termination of pregnancy (sects. 218, 218b, 218c, 219a, 219b PC)",f,52.0,5.0,47.0,"termination of pregnancy (sects. 218, 218b, 218c, 219a, 219b PC)",f,34.0,2.0,32.0,"termination of pregnancy (sects. 218, 218b, 218c, 219a, 219b PC)",f,24.0,4.0,20.0,"termination of pregnancy (sects. 218, 218b, 218c, 219a, 219b PC)",W,22.0,3.0,19.0,"termination of pregnancy (sects. 218, 218b, 218c, 219a, 219b PC)",W,24.0,4.0,20.0,"termination of pregnancy (sects. 218, 218b, 218c, 219a, 219b PC)",W,18.0,3.0,15.0,"termination of pregnancy (sects. 218, 218b, 218c, 219a, 219b PC)",W,24,4,20,"termination of pregnancy (sects. 218, 218b, 218c, 219a, 219b PC)",f,22.0,5.0,17.0
35,"negligent homicide (sect. 222 PC) 
(not in conjunction with a traffic accident)",x,883.0,14.0,869.0,"termination of pregnancy (sects. 218, 218b, 218c, 219a, 219b PC)",x,119.0,19.0,100.0,"termination of pregnancy (sects. 218, 218b, 218c, 219a, 219b PC)",x,149.0,12.0,137.0,"termination of pregnancy (sects. 218, 218b, 218c, 219a, 219b PC)",x,119.0,9.0,110.0,"termination of pregnancy (sects. 218, 218b, 218c, 219a, 219b PC)",x,98.0,13.0,85.0,"termination of pregnancy (sects. 218, 218b, 218c, 219a, 219b PC)",X,77.0,10.0,67.0,"termination of pregnancy (sects. 218, 218b, 218c, 219a, 219b PC)",X,97.0,11.0,86.0,"termination of pregnancy (sects. 218, 218b, 218c, 219a, 219b PC)",X,78.0,12.0,66.0,"termination of pregnancy (sects. 218, 218b, 218c, 219a, 219b PC)",X,96,15,81,"termination of pregnancy (sects. 218, 218b, 218c, 219a, 219b PC)",w,95.0,12.0,83.0
36,"termination of pregnancy (sects. 218, 218b, 218c, 219a, 219b PC)",m,67.0,11.0,56.0,termination of pregnancy (sects. 218),m,68.0,13.0,55.0,termination of pregnancy (sects. 218),m,74.0,7.0,67.0,termination of pregnancy (sects. 218),m,60.0,6.0,54.0,termination of pregnancy (sects. 218),m,65.0,8.0,57.0,termination of pregnancy (sects. 218),M,51.0,7.0,44.0,termination of pregnancy (sects. 218),M,71.0,7.0,64.0,termination of pregnancy (sects. 218),M,60.0,9.0,51.0,termination of pregnancy (sects. 218),M,72,11,61,termination of pregnancy (sects. 218),m,68.0,6.0,62.0
37,"termination of pregnancy (sects. 218, 218b, 218c, 219a, 219b PC)",f,26.0,6.0,20.0,termination of pregnancy (sects. 218),f,20.0,6.0,14.0,termination of pregnancy (sects. 218),f,31.0,5.0,26.0,termination of pregnancy (sects. 218),f,20.0,2.0,18.0,termination of pregnancy (sects. 218),f,16.0,4.0,12.0,termination of pregnancy (sects. 218),W,22.0,3.0,19.0,termination of pregnancy (sects. 218),W,23.0,4.0,19.0,termination of pregnancy (sects. 218),W,15.0,3.0,12.0,termination of pregnancy (sects. 218),W,23,4,19,termination of pregnancy (sects. 218),f,21.0,5.0,16.0
38,"termination of pregnancy (sects. 218, 218b, 218c, 219a, 219b PC)",x,93.0,17.0,76.0,termination of pregnancy (sects. 218),x,88.0,19.0,69.0,termination of pregnancy (sects. 218),x,105.0,12.0,93.0,termination of pregnancy (sects. 218),x,80.0,8.0,72.0,termination of pregnancy (sects. 218),x,81.0,12.0,69.0,termination of pregnancy (sects. 218),X,73.0,10.0,63.0,termination of pregnancy (sects. 218),X,94.0,11.0,83.0,termination of pregnancy (sects. 218),X,75.0,12.0,63.0,termination of pregnancy (sects. 218),X,95,15,80,termination of pregnancy (sects. 218),x,89.0,11.0,78.0
39,termination of pregnancy (sects. 218),m,63.0,11.0,52.0,termination of pregnancy without a medical determination; incorrect medical determination (sect. 218b PC),m,5.0,0.0,5.0,termination of pregnancy without a medical determination; incorrect medical determination (sect. 218b PC),m,0.0,0.0,0.0,termination of pregnancy without a medical determination; incorrect medical determination (sect. 218b PC),m,6.0,1.0,5.0,termination of pregnancy without a medical determination; incorrect medical determination (sect. 218b PC),m,5.0,1.0,4.0,termination of pregnancy without a medical determination; incorrect medical determination (sect. 218b PC),M,2.0,0.0,2.0,termination of pregnancy without a medical determination; incorrect medical determination (sect. 218b PC),M,1.0,0.0,1.0,termination of pregnancy without a medical determination; incorrect medical determination (sect. 218b PC),M,0.0,0.0,0.0,termination of pregnancy without a medical determination; incorrect medical determination (sect. 218b PC),M,0,0,0,termination of pregnancy without a medical determination; incorrect medical determination (sect. 218b PC),w,5.0,1.0,4.0
40,termination of pregnancy (sects. 218),f,24.0,6.0,18.0,termination of pregnancy without a medical determination; incorrect medical determination (sect. 218b PC),f,0.0,0.0,0.0,termination of pregnancy without a medical determination; incorrect medical determination (sect. 218b PC),f,0.0,0.0,0.0,termination of pregnancy without a medical determination; incorrect medical determination (sect. 218b PC),f,4.0,0.0,4.0,termination of pregnancy without a medical determination; incorrect medical determination (sect. 218b PC),f,0.0,0.0,0.0,termination of pregnancy without a medical determination; incorrect medical determination (sect. 218b PC),W,0.0,0.0,0.0,termination of pregnancy without a medical determination; incorrect medical determination (sect. 218b PC),W,0.0,0.0,0.0,termination of pregnancy without a medical determination; incorrect medical determination (sect. 218b PC),W,3.0,0.0,3.0,termination of pregnancy without a medical determination; incorrect medical determination (sect. 218b PC),W,1,0,1,termination of pregnancy without a medical determination; incorrect medical determination (sect. 218b PC),f,0.0,0.0,0.0
